﻿# Bermuda Coral d18O and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
#
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1872
# Online_Resource: 
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/atlantic/bermuda.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
#--------------------
# Contribution_Date
#	Date: 2002-12-01
#--------------------
# Title
#	Study_Name: Northeast Breakers - del18O, del13C, and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Pätzold, J.; Schnetger, B.; Wefer, G. 
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Pätzold, J.; Schnetger, B.; Wefer, G. 
#       Published_Date_or_Year: 2002-05-20
#       Published_Title: Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records. 
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 179
#       Edition: 
#       Issue: 
#       Pages: 159-171
#       DOI: 10.1016/S0031-0182(01)00410-2
#       Online_Resource: 
#       Full_Citation: Kuhnert, H., J. Pätzold, B. Schnetger, and G. Wefer. 2002. Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records. Palaeogeography, Palaeoclimatology, Palaeoecology 179:159-171, 20 May 2002.
#       Abstract: Records of skeletal d18O in monthly and Sr/Ca ratios in half-yearly resolution were obtained from a Bermuda coral (Diploria labyrinthiformis) for the time period 1520-1603 (±15 years) A.D. within the Little Ice Age. Annual and decadal averages of both sea surface temperature proxies indicate temperature variabilities of 0.5 °C (standard deviation) and 0.3 °C, respectively. Both numbers are close to recent instrumental observations. Approximately 30% of the interannual time series variance of d18O is concentrated in broad bands centered at periods of ~30, 16, and 7.8 years, the last two reflecting the influence of the North Atlantic Oscillation. Although this large-scale climate signal is present in the record, there is no correlation with other contemporaneous Northern Hemisphere proxy data, resulting from spatial differences in climate variability.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Northeast Breakers, Bermuda
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Bermuda
#	Country: Bermuda 
#	Northernmost_Latitude: 32.47 
# 	Southernmost_Latitude: 32.47 
# 	Easternmost_Longitude: -64.70 
# 	Westernmost_Longitude: -64.70 
# 	Elevation: -11 m  
#------------------
# Data_Collection   
#	Collection_Name: 02berm01a
#	Earliest_Year: 1519
#	Most_Recent_Year: 1604
#	Time_Unit: AD
#	Core_Length: 0.26879 m
#	Notes: 
#------------------
# Species
#	Species_Name: Diploria labyrinthiformis 
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Diploria labyrinthiformis, , permil VPDB, , corals and sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Diploria labyrinthiformis, ,mmol/mol, ,corals and sclerosponges, , analytical technique: ICP-AES,N
##d13C	delta 13C, Diploria labyrinthiformis, , permil VPDB, , corals and sclerosponges, , ,N
##depth	depth, , , mm, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	Sr/Ca	d13C	depth
1604.21	-3.1	9.34	0.81	0
1604.14	-3.21	NAN	0.76	0.2
1604.07	-3.13	NAN	0.53	0.4
1603.99	-3.3	NAN	0	0.59
1603.92	-3.56	NAN	-0.11	0.79
1603.85	-3.76	9.05	-0.1	0.99
1603.78	-3.93	8.99	0.04	1.19
1603.71	NAN	9.03	NAN	1.39
1603.64	-3.65	9.01	0.57	1.59
1603.57	-3.68	9.08	0.48	1.79
1603.49	-3.39	9.1	0.67	1.99
1603.42	-3.33	9.2	0.76	2.19
1603.35	-3.12	9.15	0.81	2.38
1603.28	-3.14	9.35	0.8	2.58
1603.21	-3	9.26	1.11	2.78
1603.15	-3.1	9.34	0.46	2.98
1603.08	-3.29	9.36	-0.02	3.18
1603.02	-3.35	9.21	-0.05	3.38
1602.96	-3.54	9.19	-0.35	3.58
1602.9	-3.54	9.13	-0.29	3.78
1602.83	-3.74	9.05	-0.21	3.98
1602.77	NAN	9.03	NAN	4.18
1602.71	-3.88	8.97	-0.23	4.38
1602.65	-3.81	9.07	-0.19	4.58
1602.58	-3.76	9	-0.05	4.78
1602.52	-3.77	9.24	-0.11	4.98
1602.46	-3.62	9.03	0.07	5.18
1602.4	-3.45	9.19	0.39	5.38
1602.33	-3.15	9.18	0.77	5.58
1602.27	-3.02	9.2	0.84	5.78
1602.21	-2.96	9.27	0.82	5.98
1602.14	-3.03	9.29	0.8	6.18
1602.07	-3.09	9.3	0.39	6.38
1601.99	-3.23	NAN	0.03	6.58
1601.92	-3.41	9.08	-0.08	6.78
1601.85	-3.54	9.14	-0.14	6.98
1601.78	-3.64	9.07	0.05	7.18
1601.71	-3.8	9.03	-0.06	7.38
1601.64	-3.75	9.03	-0.02	7.58
1601.57	-3.76	9.02	0.04	7.78
1601.49	-3.7	9.07	0.03	7.98
1601.42	-3.49	9.07	0.22	8.18
1601.35	-3.33	9.11	0.53	8.38
1601.28	-3.1	9.27	0.86	8.58
1601.21	-3.02	9.12	0.88	8.78
1601.15	-3.09	9.27	0.52	8.98
1601.09	-3.09	9.25	0.52	9.18
1601.03	-3.2	9.24	0.21	9.38
1600.97	-3.27	9.27	0.13	9.58
1600.91	-3.72	9.11	-0.31	9.78
1600.86	-3.72	9.03	-0.35	9.98
1600.8	-3.79	9.01	-0.18	10.18
1600.74	-3.88	8.97	-0.19	10.38
1600.68	-4	9.08	-0.22	10.58
1600.62	-3.79	8.95	-0.09	10.78
1600.56	-3.66	9.09	0.11	10.98
1600.5	-3.6	9.05	0.19	11.18
1600.44	-3.43	9.17	0.42	11.38
1600.38	-3.21	9.26	0.52	11.58
1600.33	-3.19	9.2	0.5	11.78
1600.27	-3.11	9.2	0.64	11.98
1600.21	-3.01	9.26	0.54	12.18
1600.15	-3.26	9.31	0.28	12.38
1600.1	-3.43	9.25	-0.05	12.58
1600.04	NAN	9.17	NAN	12.78
1599.99	-3.62	9.13	-0.19	12.99
1599.93	-3.77	9.05	-0.22	13.19
1599.88	-3.87	9.04	-0.34	13.39
1599.82	-4.01	8.98	-0.35	13.59
1599.76	-4.09	8.92	-0.38	13.79
1599.71	-3.99	8.94	-0.18	14
1599.65	-3.96	8.98	-0.21	14.2
1599.6	-3.89	9.05	-0.16	14.4
1599.54	-3.67	8.94	0.04	14.6
1599.49	-3.5	9.15	0.05	14.8
1599.43	-3.21	9.21	0.37	15.01
1599.38	-3.33	9.2	0.21	15.21
1599.32	-3.24	9.2	0.16	15.41
1599.26	-3.13	9.24	0.03	15.61
1599.21	-2.97	9.22	0.31	15.82
1599.14	-3.13	9.21	0.15	16.02
1599.07	-3.23	9.17	-0.03	16.22
1598.99	-3.43	9.22	0.03	16.42
1598.92	-3.62	9.07	-0.15	16.62
1598.85	-3.65	9.16	-0.07	16.83
1598.78	-3.85	9.06	-0.13	17.03
1598.71	-3.9	9.03	-0.06	17.23
1598.64	-3.67	9.07	0.17	17.43
1598.57	-3.68	9.08	0.32	17.64
1598.49	-3.18	9.22	0.82	17.84
1598.42	-3.37	9.29	0.54	18.04
1598.35	-3.32	9.23	0.39	18.24
1598.28	-3.16	9.3	0.39	18.44
1598.21	-3.12	9.31	0.22	18.65
1598.16	-3.27	9.35	0.09	18.85
1598.11	-3.23	9.25	0.29	19.05
1598.06	-3.61	9.19	0.01	19.25
1598.01	-3.81	9.1	-0.15	19.45
1597.96	-3.87	9.09	-0.03	19.66
1597.91	-3.82	9.12	0.18	19.86
1597.86	-3.98	9.04	0.07	20.06
1597.81	-4.04	8.99	-0.01	20.26
1597.76	-4.08	8.97	0.03	20.47
1597.71	-3.72	8.99	0.36	20.67
1597.66	-3.41	9.1	0.57	20.87
1597.62	-3.64	9.1	0.41	21.07
1597.57	-3.36	9.1	0.8	21.27
1597.52	-3.27	9.15	0.88	21.48
1597.47	-3.23	9.31	0.87	21.68
1597.42	-3.15	NAN	0.6	21.86
1597.38	-3.26	NAN	0.97	22.03
1597.34	-3.1	NAN	0.95	22.21
1597.29	-3.04	NAN	0.93	22.38
1597.25	-3.17	NAN	0.89	22.56
1597.21	-2.93	9.38	0.99	22.74
1597.11	-3.38	NAN	0.95	22.91
1597.01	-3.59	NAN	0.7	23.09
1596.91	-3.63	NAN	0.69	23.27
1596.81	-3.69	NAN	0.63	23.44
1596.71	-3.71	NAN	0.72	23.62
1596.61	-3.71	9.21	0.54	23.8
1596.51	-3.58	NAN	0.7	23.97
1596.41	-3.3	NAN	0.71	24.15
1596.31	-3.26	NAN	0.63	24.33
1596.21	-2.92	9.39	0.77	24.5
1596.13	-3.17	NAN	0.96	24.68
1596.04	-3.07	NAN	0.98	24.86
1595.96	-3.32	NAN	1.04	25.03
1595.79	-3.1	NAN	0.79	25.38
1595.71	-3.36	9.23	0.92	25.56
1595.63	-3.72	NAN	0.75	25.74
1595.54	-3.56	NAN	0.89	25.91
1595.46	-3.24	NAN	0.58	26.09
1595.38	-3.38	NAN	0.61	26.27
1595.29	-3.26	NAN	0.61	26.44
1595.21	-2.87	9.32	0.45	26.62
1595.05	-2.91	NAN	0.66	26.97
1594.97	-2.99	NAN	0.68	27.15
1594.89	-3.42	NAN	0.74	27.33
1594.81	-3.5	NAN	0.9	27.5
1594.74	-3.64	NAN	0.62	27.68
1594.65	-3.93	NAN	-0.35	27.88
1594.56	-3.76	9.1	-0.04	28.07
1594.47	-3.6	NAN	0.02	28.27
1594.38	-3.39	NAN	0.6	28.47
1594.3	-3.3	NAN	0.69	28.66
1594.21	-3.16	9.23	0.67	28.86
1594.15	-3.38	NAN	0.3	29.06
1594.09	-3.38	NAN	0.03	29.25
1594.03	-3.52	NAN	-0.01	29.45
1593.97	-3.61	NAN	0.34	29.65
1593.91	-3.89	NAN	-0.07	29.85
1593.86	-4.11	9.03	-0.06	30.04
1593.8	-4.08	NAN	-0.02	30.24
1593.74	-4.04	NAN	0.01	30.44
1593.68	-4.08	NAN	-0.18	30.63
1593.62	-3.78	NAN	0.34	30.83
1593.56	-3.67	NAN	0.32	31.03
1593.5	-3.61	NAN	0.46	31.22
1593.44	-3.49	NAN	0.63	31.42
1593.38	-3.28	NAN	0.84	31.62
1593.33	-3.12	NAN	0.86	31.81
1593.27	-3.16	NAN	0.46	32.01
1593.21	-3.07	9.33	0.26	32.21
1593.13	-3.43	NAN	-0.06	32.41
1592.96	-3.77	NAN	-0.26	32.8
1592.88	-4.13	9.05	-0.19	33
1592.79	-3.95	NAN	0	33.19
1592.71	-3.87	NAN	0.04	33.39
1592.63	-3.87	NAN	0	33.59
1592.54	-3.84	NAN	0.05	33.78
1592.46	-3.64	NAN	0.28	33.98
1592.38	-3.49	NAN	0.6	34.18
1592.29	-3.36	NAN	0.55	34.37
1592.21	-3.25	9.33	0.68	34.57
1592.15	-3.27	NAN	0.61	34.77
1592.09	-3.37	NAN	0.38	34.97
1592.03	-3.42	NAN	0.1	35.16
1591.97	-3.63	NAN	-0.28	35.36
1591.91	-3.82	NAN	-0.19	35.56
1591.86	-3.96	NAN	-0.31	35.75
1591.8	-4.1	NAN	-0.13	35.95
1591.74	-4.12	8.95	0	36.15
1591.62	-3.85	NAN	0.45	36.54
1591.56	-3.97	NAN	0.08	36.74
1591.5	-3.79	NAN	0.08	36.94
1591.44	-3.26	NAN	0.74	37.13
1591.39	-3.26	NAN	0.47	37.33
1591.33	-3.37	NAN	0.68	37.53
1591.21	-3.08	9.25	0.93	37.92
1591.13	-3.38	NAN	0.44	38.12
1591.04	-3.4	NAN	0.19	38.32
1590.96	-3.72	NAN	-0.31	38.52
1590.79	-4.05	9.1	-0.31	38.91
1590.71	-3.87	NAN	-0.11	39.11
1590.63	-4.01	NAN	-0.21	39.31
1590.54	-3.85	NAN	-0.19	39.5
1590.46	-3.7	NAN	-0.01	39.7
1590.38	-3.57	NAN	0.03	39.9
1590.29	-3.22	NAN	0.49	40.1
1590.21	-3.21	9.29	0.53	40.3
1590.14	-3.24	NAN	0.49	40.49
1590.08	-3.22	NAN	0.3	40.69
1590.01	-3.27	NAN	0.01	40.89
1589.94	-3.51	NAN	-0.14	41.09
1589.88	-3.8	NAN	-0.24	41.29
