# Savusavu Bay, Fiji Diploastrea Coral Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1916
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/savusavu2005.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2005-06-01
#--------------------
# Title
#	Study_Name: Savusavu Bay - 225-Year Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#--------------------
# Description_and_Notes
#	Description: The composite d18O record presented is an average of two Diploastrea cores  collected from opposite sides of the channel in Savusavu Bay, Fiji that spans  1776-2001 (period of overlap 1940-1997), both normalized to the 1970-1996 mean.   Both cores were sampled at 0.5 mm intervals within the upper 50 mm,  and at 1 mm intervals below 50 mm depth.
#--------------------
# Publication 
#       Authors: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#       Published_Date_or_Year: 2005   
#       Published_Title: Coral oxygen isotope records of interdecadal climate variations in the  South Pacific Convergence Zone region.
#       Journal_Name: Geochemistry, Geophysics, Geosystems
#       Volume: 6
#       Edition: 
#       Issue: 2005-06-01
#       Pages: 
#       DOI: 10.1029/2004GC000879
#       Online_Resource: 
#       Full_Citation: Bagnato, S., B.K. Linsley, S.S. Howe, G.M. Wellington, and J. Salinger. 2005. Coral oxygen isotope records of interdecadal climate variations in the South Pacific Convergence Zone region.   Geochemistry, Geophysics, Geosystems, Vol. 6, Q06001, 1 June 2005. doi:10.1029/2004GC000879
#       Abstract: The South Pacific Convergence Zone (SPCZ), a region of high rainfall, is a major feature of subtropical Southern Hemisphere climate and contributes to and interacts with circulation features across the Pacific, yet its past temporal variability and forcing remain only partially understood. Here we compare coral oxygen isotopic (d18O) series (spanning A.D. 1997�1780 and  A.D. 2001�1776) from two genera of hermatypic corals in Fiji, located within the SPCZ, to examine the fidelity of these corals in recording climate change and SPCZ interdecadal dynamics. One of these coral records  is a new 225-year subannually resolved d18O series from the massive coral Diploastrea heliopora. Diploastrea's use in climate reconstructions is still relatively new, but this coral has shown encouragingly similar  interannual variability to Porites, the coral genus most commonly used in  Pacific paleoclimate studies. In Fiji we observe that interdecadal d18O variance is also similar in these two coral genera, and Diploastrea contains a larger-amplitude interdecadal signal that more closely tracks instrumental-based indices of Pacific interdecadal climate change and the  SPCZ than Porites. Both coral d18O series record greater interdecadal variability from ~1880 to 1950, which is consistent with the observations of Folland et al. (2002), who reported higher variability in SPCZ position  before 1945. These observations indicate that Diploastrea will likely provide a significant new source of long-term climate information from the SPCZ region. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Savusavu Bay, Fiji
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>Fiji
#	Country: Fiji 
#	Northernmost_Latitude: -16.82
# 	Southernmost_Latitude: -16.82
# 	Easternmost_Longitude: 179.23
# 	Westernmost_Longitude: 179.23
# 	Elevation:  -2 m  
#------------------
# Data_Collection   
#	Collection_Name: 05fiji01a
#	Earliest_Year: 1776
#	Most_Recent_Year: 2001
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Diploastrea heliopora
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O_anom	delta 18O anomaly, Diploastrea heliopora, , permil VPDB, , corals and sclerosponges, normalized to the 1970-1996 mean, instrument: isotope ratio mass spectrometer,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O_anom
2001	-0.046
2000	-0.134
1999	0.030
1998	0.363
1997	0.224
1996	-0.140
1995	0.053
1994	0.149
1993	0.120
1992	0.058
1991	-0.003
1990	-0.127
1989	-0.260
1988	-0.085
1987	0.292
1986	0.116
1985	-0.052
1984	-0.017
1983	0.208
1982	0.027
1981	0.013
1980	0.090
1979	-0.014
1978	0.057
1977	0.048
1976	-0.147
1975	-0.206
1974	-0.155
1973	0.006
1972	-0.051
1971	-0.098
1970	0.119
1969	0.160
1968	-0.059
1967	0.022
1966	0.125
1965	0.164
1964	0.137
1963	0.019
1962	-0.032
1961	-0.057
1960	-0.076
1959	0.069
1958	0.264
1957	0.006
1956	-0.172
1955	-0.164
1954	0.023
1953	0.131
1952	0.027
1951	-0.071
1950	-0.125
1949	-0.099
1948	-0.083
1947	-0.060
1946	-0.013
1945	-0.023
1944	-0.199
1943	-0.111
1942	0.109
1941	0.146
1940	0.131
1939	-0.013
1938	0.160
1937	0.114
1936	0.189
1935	0.432
1934	0.356
1933	0.346
1932	0.412
1931	0.620
1930	0.470
1929	0.357
1928	0.140
1927	0.460
1926	0.488
1925	0.254
1924	0.268
1923	0.291
1922	0.029
1921	0.036
1920	0.206
1919	0.264
1918	0.023
1917	-0.177
1916	-0.115
1915	0.160
1914	0.172
1913	0.102
1912	0.125
1911	-0.024
1910	-0.056
1909	-0.012
1908	-0.109
1907	-0.105
1906	0.143
1905	0.263
1904	0.196
1903	-0.040
1902	0.042
1901	0.201
1900	0.207
1899	0.008
1898	-0.064
1897	-0.237
1896	0.203
1895	0.128
1894	-0.224
1893	-0.229
1892	-0.363
1891	-0.132
1890	-0.142
1889	-0.067
1888	0.076
1887	-0.007
1886	0.290
1885	0.451
1884	0.393
1883	0.185
1882	-0.117
1881	-0.082
1880	-0.094
1879	0.104
1878	0.378
1877	0.292
1876	0.250
1875	0.011
1874	0.147
1873	0.008
1872	-0.061
1871	-0.191
1870	0.041
1869	0.224
1868	0.120
1867	0.184
1866	0.298
1865	0.185
1864	0.162
1863	0.041
1862	0.062
1861	-0.013
1860	-0.010
1859	0.119
1858	0.218
1857	-0.120
1856	0.088
1855	0.080
1854	0.121
1853	0.152
1852	0.135
1851	0.185
1850	0.248
1849	-0.016
1848	-0.139
1847	-0.090
1846	0.060
1845	0.123
1844	0.086
1843	-0.015
1842	0.042
1841	0.197
1840	0.131
1839	0.264
1838	0.120
1837	0.088
1836	0.043
1835	0.113
1834	0.277
1833	0.232
1832	0.178
1831	0.212
1830	0.034
1829	0.078
1828	0.084
1827	0.190
1826	0.208
1825	0.606
1824	0.252
1823	0.240
1822	0.288
1821	0.255
1820	0.020
1819	0.153
1818	0.270
1817	0.235
1816	0.225
1815	0.194
1814	0.222
1813	0.294
1812	0.415
1811	0.550
1810	0.337
1809	0.231
1808	0.111
1807	0.073
1806	0.218
1805	0.638
1804	0.418
1803	0.215
1802	0.362
1801	0.426
1800	0.440
1799	0.281
1798	0.339
1797	0.026
1796	0.083
1795	0.173
1794	0.379
1793	0.429
1792	0.334
1791	0.146
1790	0.168
1789	0.049
1788	0.183
1787	0.258
1786	0.220
1785	0.389
1784	0.386
1783	0.357
1782	0.351
1781	0.371
1780	0.372
1779	0.323
1778	0.487
1777	0.614
1776	0.732
