# Savusavu Bay, Fiji Diploastrea Coral Stable Isotope and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1881
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/savusavu_bay_2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2004-03-01
#--------------------
# Title
#	Study_Name: Savusavu Bay - Diploastrea Stable Isotope and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#--------------------
# Description_and_Notes
#	Description: Fiji Diploastrea cores 4F1 and LH were collected from opposite sides  of the channel in Savusavu Bay.   Core 4F1 was collected in 10 meters  of water and spans 1940 to 1997, while core LH was collected in  2 meters of water and we present here only the period 1940 to 2001.   The composite d18O and Sr/Ca records are an average of the two cores,  both normalized to the 1970-1996 mean.  Both cores were sampled at  0.5 mm intervals within the upper 50 mm, and at 1 mm intervals below  50 mm depth.
#--------------------
# Publication 
#       Authors: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#       Published_Date_or_Year: 2004   
#       Published_Title: Evaluating the use of the massive coral Diploastrea heliopora for paleoclimate reconstruction.
#       Journal_Name: Paleoceanography
#       Volume: 19
#       Edition: 
#       Issue: PA1032
#       Pages: 
#       DOI: 10.1029/2003PA000935
#       Online_Resource: 
#       Full_Citation: Bagnato, S., B.K. Linsley, S.S. Howe, G.M. Wellington, and J. Salinger. 2005. Coral oxygen isotope records of interdecadal climate variations in the  South Pacific Convergence Zone region.   Geochemistry, Geophysics, Geosystems, Vol. 6, Q06001, 1 June 2005. doi:10.1029/2004GC000879
#       Abstract: To date, coral-based paleoclimate research in the Pacific has primarily  utilized core samples from the genus Porites and has been most successful  reconstructing past variability on interannual timescales, particularly  the El Ni�o Southern Oscillation (ENSO). The Indo-Pacific coral genus  Diploastrea, however, owing to its slower extension rate, denser structure,  and longer lifespan, can potentially preserve geochemical proxy records  2�3 times longer than Porites cores of the same length. Before its potential  can be realized, Diploastrea must first be calibrated and its climate signal  assessed. We present oxygen isotope (d18O) and Sr/Ca results from two  Diploastrea cores collected in Fiji (16�49S, 179�14E) that allow for  simultaneous evaluation of this coral's paleoclimatic utility and the  reproducibility of each tracer at this site. Comparison to a Porites record  from the same location allows for further evaluation of Diploastrea as a  paleoclimatic archive. We demonstrate that Diploastrea's septal and columellar  material yield similar d18O-SST relationships and that despite some sacrifice  of the seasonal d18O amplitude, bulk sampling of either region is satisfactory  for resolving interannual and lower frequency modes of climatic variability.  Therefore paleoclimate reconstructions employing either a septal or columellar  sampling regime of this genus may be useful at filling in spatial and temporal  sampling gaps which currently hinder the reconstruction of long-term changes  in major climate fields in the western Pacific.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Savusavu Bay, Fiji
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>Fiji
#	Country: Fiji 
#	Northernmost_Latitude: -16.82 
# 	Southernmost_Latitude: -16.82 
# 	Easternmost_Longitude: 179.23  
# 	Westernmost_Longitude: 179.23  
# 	Elevation: -2 m  
#------------------
# Data_Collection   
#	Collection_Name: 04fiji02a
#	Earliest_Year: 1939
#	Most_Recent_Year: 2001
#	Time_Unit: AD
#	Core_Length: 
#	Notes: Core name LH
#------------------
# Species
#	Species_Name: Diploastrea heliopora
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##depth	depth, , ,mm, , , , ,N
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Diploastrea heliopora, , permil VPDB, , corals and sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Diploastrea heliopora, , mmol/mol, , corals and sclerosponges, , ,N
##d13C	delta 13C, Diploastrea heliopora, , permil VPDB, , corals and sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
depth	age	d18O	Sr/Ca	d13C
0.5	2001.96	-4.65	9.10	-0.17
1	2001.80	-4.69	9.10	-0.22
1.5	2001.63	-4.62	9.08	-0.24
2	2001.46	-4.80	9.05	-0.47
2.5	2001.30	-5.05	9.01	-0.71
3	2001.13	-5.06	8.93	-0.54
3.5	2000.96	-5.07	8.95	-0.66
4	2000.79	-4.81	9.02	-0.46
4.5	2000.21	-5.12	9.07	-0.67
5	2000.02	-4.90	9.08	-0.31
5.5	1999.82	-4.79	9.04	-0.19
6	1999.63	-4.74	9.20	-0.15
6.5	1999.29	-4.95	9.17	-0.25
7	1999.15	-4.64	9.16	0.04
7.5	1999.00	-4.77	9.17	-0.26
8	1998.86	-4.64	9.12	-0.24
8.5	1998.71	-4.13	9.18	0.10
9	1998.65	-4.18	9.19	0.06
9.5	1998.60	-4.33	9.20	-0.53
10	1998.54	-4.19	9.20	-0.17
10.5	1998.49	-4.20	9.15	-0.28
11	1998.43	-4.42	9.15	-0.51
11.5	1998.38	-4.31	9.20	-0.31
12	1998.32	-4.58	9.17	-0.41
12.5	1998.27	-4.72	9.09	-0.40
13	1998.21	-4.78	9.09	-0.23
13.5	1998.11	-4.54	9.10	-0.18
14	1998.01	-4.63	9.07	0.01
14.5	1997.91	-4.57	9.13	0.08
15	1997.81	-4.44	9.16	0.03
15.5	1997.71	-4.22	9.14	-0.07
16	1997.60	-4.39	9.18	-0.18
16.5	1997.49	-4.42	9.17	-0.35
17	1997.38	-4.45	9.21	-0.60
17.5	1997.26	-4.42	9.12	0.10
18	1997.15	-4.96	9.11	-0.62
18.5	1997.04	-5.10	9.17	-0.84
19	1996.94	-5.08	9.04	-0.65
19.5	1996.84	-5.01	9.09	-0.57
20	1996.73	-4.95	9.05	-0.19
20.5	1996.63	-4.74	9.10	0.11
21	1996.56	-4.76	9.06	-0.18
21.5	1996.49	-4.75	9.11	-0.25
22	1996.42	-4.86	9.11	-0.29
22.5	1996.35	-4.75	9.11	-0.26
23	1996.28	-4.78	9.10	-0.20
23.5	1996.21	-5.05	9.12	-0.57
24	1995.99	-4.85	9.12	-0.15
24.5	1995.76	-4.66	9.20	0.44
25	1995.54	-4.53	9.27	0.85
25.5	1995.50	-4.56	9.23	0.58
26	1995.46	-4.80	9.21	0.08
26.5	1995.42	-4.55	9.24	-0.18
27	1995.38	-4.67	9.27	-0.21
27.5	1995.33	-4.79	9.23	-0.63
28	1995.29	-4.79	9.17	-0.43
28.5	1995.25	-4.91	9.18	-0.19
29	1995.21	-4.95	9.18	-0.08
29.5	1995.13	-4.71	9.20	0.00
30	1995.04	-4.71	9.19	0.21
30.5	1994.96	-4.59	9.18	-0.06
31	1994.88	-4.48	9.21	-0.15
31.5	1994.79	-4.43	9.25	-0.19
32	1994.71	-4.36	9.28	0.06
32.5	1994.64	-4.39	9.22	-0.25
33	1994.57	-4.36	9.24	-0.21
33.5	1994.50	-4.68	9.19	-0.29
34	1994.42	-4.83	9.14	-0.30
34.5	1994.35	-4.88	9.11	-0.41
35	1994.28	-5.06	9.10	-0.40
35.5	1994.21	-5.10	9.00	-0.23
36	1994.11	-4.79	9.11	0.39
36.5	1994.01	-4.78	9.14	0.45
37	1993.91	-4.53	9.21	0.16
37.5	1993.81	-4.60	9.27	-0.18
38	1993.71	-4.43	9.24	-0.31
38.5	1993.61	-4.71	9.24	-0.63
39	1993.51	-4.63	9.24	-0.51
39.5	1993.41	-5.02	9.16	-0.55
40	1993.31	-4.84	9.16	-0.63
40.5	1993.21	-5.06	9.15	-0.55
41	1993.13	-4.97	9.12	-0.21
41.5	1993.04	-4.77	9.13	-0.33
42	1992.96	-4.74	9.16	-0.31
42.5	1992.88	-4.60	9.21	-0.13
43	1992.80	-4.59	9.26	-0.24
43.5	1992.71	-4.61	9.20	-0.36
44	1992.63	-4.53	9.18	-0.24
44.5	1992.57	-4.68	9.18	-0.57
45	1992.51	-4.73	9.17	-0.69
45.5	1992.44	-4.95	9.12	-0.97
46	1992.38	-4.80	9.10	-0.66
46.5	1992.32	-5.02	9.08	-0.63
47	1992.26	-5.07	9.06	-0.64
47.5	1992.19	-4.96	9.04	-0.38
48	1992.13	-5.08	9.04	-0.26
48.5	1992.03	-5.02	9.12	-0.03
49	1991.92	-4.95	9.07	-0.27
49.5	1991.82	-4.96	9.11	-0.42
50	1991.71	-4.67	9.15	-0.44
51	1991.54	-4.96	9.14	-0.67
52	1991.38	-4.79	9.13	-0.64
53	1991.21	-5.06	9.07	-0.73
54	1991.02	-5.03	9.09	-0.62
55	1990.82	-4.92	9.12	-0.57
56	1990.63	-4.90	NAN	-0.81
57	1990.55	-4.94	9.15	-0.68
58	1990.46	-5.08	9.16	-0.25
