# Savusavu Bay, Fiji Diploastrea Coral Stable Isotope and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1881
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/savusavu_bay_2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2004-03-01
#--------------------
# Title
#	Study_Name: Savusavu Bay - Diploastrea Stable Isotope and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#--------------------
# Description_and_Notes
#	Description: Fiji Diploastrea cores 4F1 and LH were collected from opposite sides  of the channel in Savusavu Bay.   Core 4F1 was collected in 10 meters  of water and spans 1940 to 1997, while core LH was collected in  2 meters of water and we present here only the period 1940 to 2001.   The composite d18O and Sr/Ca records are an average of the two cores,  both normalized to the 1970-1996 mean.  Both cores were sampled at  0.5 mm intervals within the upper 50 mm, and at 1 mm intervals below  50 mm depth.
#--------------------
# Publication 
#       Authors: Bagnato, S.; Linsley, B.K.; Howe, S.S.; Wellington, G.M.; Salinger, J.
#       Published_Date_or_Year: 2004   
#       Published_Title: Evaluating the use of the massive coral Diploastrea heliopora for paleoclimate reconstruction.
#       Journal_Name: Paleoceanography
#       Volume: 19
#       Edition: 
#       Issue: PA1032
#       Pages: 
#       DOI: 10.1029/2003PA000935
#       Online_Resource: 
#       Full_Citation: Bagnato, S., B.K. Linsley, S.S. Howe, G.M. Wellington, and J. Salinger. 2005. Coral oxygen isotope records of interdecadal climate variations in the  South Pacific Convergence Zone region.   Geochemistry, Geophysics, Geosystems, Vol. 6, Q06001, 1 June 2005. doi:10.1029/2004GC000879
#       Abstract: To date, coral-based paleoclimate research in the Pacific has primarily  utilized core samples from the genus Porites and has been most successful  reconstructing past variability on interannual timescales, particularly  the El Ni�o Southern Oscillation (ENSO). The Indo-Pacific coral genus  Diploastrea, however, owing to its slower extension rate, denser structure,  and longer lifespan, can potentially preserve geochemical proxy records  2�3 times longer than Porites cores of the same length. Before its potential  can be realized, Diploastrea must first be calibrated and its climate signal  assessed. We present oxygen isotope (d18O) and Sr/Ca results from two  Diploastrea cores collected in Fiji (16�49S, 179�14E) that allow for  simultaneous evaluation of this coral's paleoclimatic utility and the  reproducibility of each tracer at this site. Comparison to a Porites record  from the same location allows for further evaluation of Diploastrea as a  paleoclimatic archive. We demonstrate that Diploastrea's septal and columellar  material yield similar d18O-SST relationships and that despite some sacrifice  of the seasonal d18O amplitude, bulk sampling of either region is satisfactory  for resolving interannual and lower frequency modes of climatic variability.  Therefore paleoclimate reconstructions employing either a septal or columellar  sampling regime of this genus may be useful at filling in spatial and temporal  sampling gaps which currently hinder the reconstruction of long-term changes  in major climate fields in the western Pacific.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Savusavu Bay, Fiji
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Polynesia>Fiji
#	Country: Fiji 
#	Northernmost_Latitude: -16.82
# 	Southernmost_Latitude: -16.82
# 	Easternmost_Longitude: 179.23
# 	Westernmost_Longitude: 179.23
# 	Elevation: -2 m
#------------------
# Data_Collection   
#	Collection_Name: 04fiji01b
#	Earliest_Year: 1940
#	Most_Recent_Year: 2000
#	Time_Unit: AD
#	Core_Length: 
#	Notes: Composite of cores LH and 4F1
#------------------
# Species
#	Species_Name: Diploastrea heliopora
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O_anom	delta 18O anomaly, Diploastrea heliopora, , permil VPDB, , corals and sclerosponges, average of the two cores both normalized to the 1970-1996 mean, ,N
##Sr/Ca_anom	Strontium/Calcium anomaly, Diploastrea heliopora, , mmol/mol, , corals and sclerosponges, average of the two cores both normalized to the 1970-1996 mean, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O_anom	Sr/Ca_anom
2000	-0.13	-0.10
1999	0.03	0.01
1998	0.36	-0.01
1997	0.22	0.00
1996	-0.14	-0.04
1995	0.05	0.04
1994	0.15	0.03
1993	0.12	0.07
1992	0.06	-0.01
1991	0.00	-0.02
1990	-0.13	-0.03
1989	-0.26	-0.06
1988	-0.09	-0.04
1987	0.29	0.06
1986	0.12	0.02
1985	-0.05	0.01
1984	-0.02	-0.01
1983	0.21	0.03
1982	0.03	0.03
1981	0.01	0.04
1980	0.09	0.03
1979	-0.01	0.01
1978	0.06	0.00
1977	0.05	0.00
1976	-0.15	-0.02
1975	-0.21	-0.02
1974	-0.15	-0.04
1973	0.01	-0.01
1972	-0.05	-0.01
1971	-0.10	-0.03
1970	0.12	-0.04
1969	0.16	0.04
1968	-0.06	0.03
1967	0.02	0.00
1966	0.12	0.03
1965	0.16	-0.01
1964	0.14	-0.02
1963	0.02	NAN
1962	-0.03	NAN
1961	-0.06	NAN
1960	-0.08	NAN
1959	0.07	NAN
1958	0.26	NAN
1957	0.01	NAN
1956	-0.17	NAN
1955	-0.16	NAN
1954	0.02	NAN
1953	0.13	NAN
1952	0.03	NAN
1951	-0.07	NAN
1950	-0.12	NAN
1949	-0.10	NAN
1948	-0.08	NAN
1947	-0.06	NAN
1946	-0.01	NAN
1945	-0.02	NAN
1944	-0.20	NAN
1943	-0.11	NAN
1942	0.11	NAN
1941	0.15	NAN
1940	0.13	NAN
