# Papua New Guinea Holocene and Modern Coral Oxygen Isotope Data 
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/9813
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/papua_new_guinea/papau-new-guinea2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2010-11-01
#--------------------
# Title
#	Study_Name: Papua New Guinea Holocene Coral Oxygen Isotope Data 
#--------------------
# Investigators
#       Investigators: McGregor, H.V.; Gagan, M.K.
#--------------------
# Description_and_Notes
#	Description: Fossil and modern coral d18O data from Koil Island and Muschu Island, northern Papua New Guinea, collected from uplifted and living reefs.  Fossil corals were screened for diagenesis using X-ray diffraction  and thin section observations. Eight mid-late Holocene fossil corals were selected for study due to their well preserved state.  Uranium-series ages of these corals were determined by isotope dilution thermal ionisation mass spectrometry, with fossil coral initial d234U constrained to 146�150 per mil. The average error on the uranium-series ages is �90 yr. 
#--------------------
# Publication 
#       Authors: McGregor, H.V.; Gagan, M.K.
#       Published_Date_or_Year: 2004
#       Published_Title: Western Pacific coral d18O records of anomalous Holocene variability in the El Nino-Southern Oscillation.
#       Journal_Name: Geophysical Research Letters
#       Volume: 31
#       Edition: 
#       Issue: L11204
#       Pages: 
#       DOI: 10.1029/2004GL019972
#       Online_Resource: 
#       Full_Citation: McGregor, H.V., and M.K. Gagan. 2004. Western Pacific coral d18O records of anomalous Holocene variability in the El Nino-Southern Oscillation. Geophysical Research Letters, 31, L11204, doi:10.1029/2004GL019972. 
#       Abstract: Skeletal oxygen isotope ratios in Holocene Porites corals from  northern Papua New Guinea record decreases in sea surface temperature  (SST) and rainfall during El Nino events. Threshold analysis of seven  fossil coral d18O records spanning the period 7.6-5.4 ka (thousand  years ago) shows 8-12 El Nino events/century, significantly less  than the 23 events/century recorded by the NINO3.4 Index. The coral  reconstructions also show a 15% reduction in El Nino event amplitude  for 7.6-5.4 ka, compared to today, which is greater than the  suppression given by model studies. In contrast, large and protracted  El Nino events are identified for 2.5-1.7 ka. Taken together,  the results indicate a nonlinear atmospheric response to Holocene  changes in El Nino SST anomalies. We propose that small changes  in tropical SST gradients, the positioning of the Intertropical  Convergence Zone, and the Pacific tradewind climatology modify  the impact of El Nino events on western Pacific rainfall.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Cape Saum, Muschu Island, Papua New Guinea
#       Location: Ocean>Pacific Ocean>South Pacific Ocean>Melanesia>Papua New Guinea
#	Country: Papua New Guinea 
#	Northernmost_Latitude: -3.4118 
# 	Southernmost_Latitude: -3.4118 
# 	Easternmost_Longitude: 143.6370
# 	Westernmost_Longitude: 143.6370 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 04papu01a 
#	Earliest_Year: 1910
#	Most_Recent_Year: 1997
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Species
#	Species_Name: Porites sp. 
#	Common_Name: 
#------------------
# Chronology_Information
#	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, , ,N
##d18O_anom	delta 18O, Porites sp., , permil VPDB, , Corals and Sclerosponges, anomalized to series mean, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	d18O_anom
1997	-5.21	0.29
1996	-5.68	-0.18
1995	-5.66	-0.16
1994	-5.52	-0.02
1993	-5.35	0.15
1992	-5.35	0.15
1991	-5.4	0.11
1990	-5.5	0.01
1989	-5.62	-0.11
1988	-5.68	-0.17
1987	-5.35	0.17
1986	-5.49	0.03
1985	-5.71	-0.19
1984	-5.67	-0.15
1983	-5.37	0.15
1982	-5.44	0.08
1981	-5.57	-0.05
1980	-5.48	0.03
1979	-5.58	-0.07
1978	-5.55	-0.04
1977	-5.38	0.12
1976	-5.51	-0.01
1975	-5.51	-0.02
1974	-5.53	-0.04
1973	-5.48	0.01
1972	-5.23	0.25
1971	-5.58	-0.1
1970	-5.48	0
1969	-5.51	-0.04
1968	-5.5	-0.03
1967	-5.64	-0.17
1966	-5.41	0.05
1965	-5.28	0.18
1964	-5.41	0.04
1963	-5.43	0.01
1962	-5.49	-0.06
1961	-5.61	-0.18
1960	-5.61	-0.19
1959	-5.38	0.03
1958	-5.27	0.13
1957	-5.18	0.21
1956	-5.4	-0.02
1955	-5.38	-0.01
1954	-5.37	0
1953	-5.23	0.14
1952	NAN	NAN
1951	NAN	NAN
1950	-5.47	-0.11
1949	-5.43	-0.07
1948	-5.36	0
1947	-5.31	0.05
1946	-5.36	-0.01
1945	-5.44	-0.09
1944	-5.43	-0.08
1943	-5.38	-0.04
1942	-5.36	-0.02
1941	-5.1	0.23
1940	-5.19	0.14
1939	-5.29	0.04
1938	-5.38	-0.05
1937	-5.41	-0.08
1936	-5.38	-0.05
1935	-5.35	-0.02
1934	-5.32	0.01
1933	-5.28	0.05
1932	-5.33	0
1931	-5.27	0.06
1930	-5.23	0.1
1929	-5.37	-0.04
1928	-5.5	-0.17
1927	-5.43	-0.1
1926	-5.2	0.12
1925	-5.37	-0.05
1924	-5.29	0.02
1923	-5.33	-0.03
1922	-5.38	-0.09
1921	-5.38	-0.11
1920	-5.23	0.03
1919	-5.16	0.08
1918	-5.3	-0.08
1917	-5.27	-0.06
1916	-5.23	-0.04
1915	-5.03	0.15
1914	-4.97	0.19
1913	-5.09	0.06
1912	-5.12	0.03
1911	-5.15	-0.01
1910	-5.23	-0.09
