# Malindi, Kenya Coral Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1855
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/malindi_18o.txt
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/readme_malindi.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2000-07-01
#--------------------
# Title
#	Study_Name: Malindi - del18O Data
#--------------------
# Investigators
#       Investigators: Cole, J.E.; Dunbar, R.B.; McClanahan, T.R.; Muthiga, N.
#--------------------
# Description_and_Notes
#	Description: File includes columns for Year AD, Coral d18O (�), and SST (�C). The SST data  are sparse as they were screened using the procedures described below. The coral used in this study grew (and still does grow) in Malindi Marine Park,  Kenya (3�S, 40�E). The colony lies at a depth of ~6m (low tide) and is about 4m  in height. Annual growth rates are roughly 12mm/yr.  Oxygen isotopic data are from annual increments of coral skeleton that were cut  according to annual density bands that are clearly visible in the core.  Annual chunks were crushed and homogenized; isotopic values represent the average  of duplicate or triplicate samples. Because samples were taken with respect to  visible annual density banding, there is no depth scale for this record.  Density and fluorescent banding can be viewed at  http://www.ngdc.noaa.gov/paleo/outreach/coral/image/malindix-ray.jpg (Core Mal 96-1 is taken from the same colony as the core used to generate this  dataset.) Annual density banding is unambiguous in this core, so annual assignments are  precise. The annual samples represent a year that is roughly November thru October.  (The year assigned is the year of the January, not the year of the November,  that is included in that interval). However, if cuts were not precisely along the  October-November boundary, small (1-2 month) offsets in the months assigned to an  annual sample may have occurred.  Stable isotope samples were analyzed on three isotope ratio mass spectrometers:  a VG 602 with SIRA-series electronics at Rice University, a VG-SIRA with  automated carbonate preparation device, and a Micromass Optima with automated  carbonate preparation device, the latter two at the University of Colorado/Boulder  (INSTAAR). Each measurement has an analytical uncertainty of �0.08�;  the differences between duplicate samples were above 0.18� in only 2 of 195 cases,  confirming inter-lab and inter-instrument calibrations. We calibrate the coral d18O to the enhanced COADS SST from 3�S, 41�E, which has a  broader screening tolerance than the standard COADS (4.5 sigma vs. 3.5 sigma) to  capture larger anomalies. COADS enhanced data are provided by the NOAA-CIRES  Climate Diagnostics Center, Boulder, Colorado, from their web site at  http://www.cdc.noaa.gov/. We use annual SST data representing a Nov.-Oct. year and  include only years that contain at least three observations from every month;  this procedure yields a slope of �0.256� per 1�C and explains 47% of the  SST variance. The details of the calibration procedure have little effect on the  paleotemperature slope: using the standard SST product instead of the enhanced  yields a slope of -0.228; omitting the minimum requirement of three observations  per month yields a slope of 0.262 for the enhanced COADS and 0.252 for the standard. These correlations are all significant at >99.9%.   More information on this record can be found in the original reference.
#--------------------
# Publication 
#       Authors: Cole, J.E.; Dunbar, R.B.; McClanahan, T.R.; Muthiga, N.
#       Published_Date_or_Year: 2000-01-28    
#       Published_Title: Tropical Pacific forcing of decadal variability in  the western Indian Ocean over the past two centuries.
#       Journal_Name: Science
#       Volume: 287
#       Edition: 
#       Issue: 5453
#       Pages: 617-619
#       DOI: 10.1126/science.287.5453.617 
#       Online_Resource: 
#       Full_Citation: Cole, J. E., R. B. Dunbar, T. R. McClanahan, and  N. Muthiga, 2000, Tropical Pacific forcing of decadal variability in  the western Indian Ocean over the past two centuries,  Science 287, 617-619. 
#       Abstract: A 194-year annual record of skeletal δ18O from a coral growing at Malindi, Kenya, preserves a history of sea surface temperature (SST) change that is coherent with instrumental and proxy records of tropical Pacific climate variability over interannual to decadal periods. This variability is superimposed on a warming of as much as 1.3°C since the early 1800s. These results suggest that the tropical Pacific imparts substantial decadal climate variability to the western Indian Ocean and, by implication, may force decadal variability in other regions with strong El Niño–Southern Oscillation teleconnections.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Science Foundation
#       Grant: ATM 94-10298, OCE-9614137, ATM 94-09779, OCE-9632287, OCE-9896157
#------------------
# Site_Information 
#       Site_Name: Malindi Marine Park
#       Location: Africa>Eastern Africa>Kenya
#	Country: Kenya 
#	Northernmost_Latitude: -3
# 	Southernmost_Latitude: -3 
# 	Easternmost_Longitude: 40 
# 	Westernmost_Longitude: 40 
# 	Elevation: -6 m  
#------------------
# Data_Collection   
#	Collection_Name: 
#	Earliest_Year: 1801
#	Most_Recent_Year: 1994
#	Time_Unit: AD
#	Core_Length: 4 m
#	Notes: 
#------------------
# Species
#	Species_Name: Porites lutea 
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Porites lutea, , permil VPDB, , corals and sclerosponges, , instrument: isotope ratio mass spectrometer,N
##sst	local COADS sea surface temperature, , , degrees C, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	sst
1994	-4.705	NAN
1993	-4.658	NAN
1992	-4.664	NAN
1991	-4.627	NAN
1990	-4.598	NAN
1989	-4.532	27.4
1988	-4.577	27.6
1987	-4.59	27.55
1986	-4.449	26.77
1985	-4.477	26.76
1984	-4.498	26.65
1983	-4.571	NAN
1982	-4.552	27.34
1981	-4.544	27.13
1980	-4.629	27.18
1979	-4.557	27.43
1978	-4.521	27.43
1977	-4.5	27.18
1976	-4.56	26.96
1975	-4.334	26.83
1974	-4.411	27.06
1973	-4.423	27.1
1972	-4.378	NAN
1971	-4.345	NAN
1970	-4.376	NAN
1969	-4.349	NAN
1968	-4.323	26.87
1967	-4.369	27.08
1966	-4.351	26.95
1965	-4.279	26.56
1964	-4.186	26.73
1963	-4.288	NAN
1962	-4.294	NAN
1961	-4.318	NAN
1960	-4.369	26.83
1959	-4.34	27.03
1958	-4.291	27.04
1957	-4.356	NAN
1956	-4.387	26.68
1955	-4.349	26.58
1954	-4.41	NAN
1953	-4.369	26.79
1952	-4.408	27.01
1951	-4.343	26.64
1950	-4.35	NAN
1949	-4.524	NAN
1948	-4.457	NAN
1947	-4.441	NAN
1946	-4.45	NAN
1945	-4.489	NAN
1944	-4.417	NAN
1943	-4.387	NAN
1942	-4.507	NAN
1941	-4.506	NAN
1940	-4.476	NAN
1939	-4.517	NAN
1938	-4.441	NAN
1937	-4.414	NAN
1936	-4.452	NAN
1935	-4.427	NAN
1934	-4.323	NAN
1933	-4.48	NAN
1932	-4.51	NAN
1931	-4.53	NAN
1930	-4.453	NAN
1929	-4.382	NAN
1928	-4.35	NAN
1927	-4.408	NAN
1926	-4.388	NAN
1925	-4.361	NAN
1924	-4.342	NAN
1923	-4.352	NAN
1922	-4.368	NAN
1921	-4.356	NAN
1920	-4.337	NAN
1919	-4.352	NAN
1918	-4.338	NAN
1917	-4.341	NAN
1916	-4.354	NAN
1915	-4.436	NAN
1914	-4.464	NAN
1913	-4.406	NAN
1912	-4.398	NAN
1911	-4.245	NAN
1910	-4.266	NAN
1909	-4.352	NAN
1908	-4.279	NAN
1907	-4.387	NAN
1906	-4.511	NAN
1905	-4.355	NAN
1904	-4.449	NAN
1903	-4.428	NAN
1902	-4.439	NAN
1901	-4.394	NAN
1900	-4.517	NAN
1899	-4.39	NAN
1898	-4.523	NAN
1897	-4.499	NAN
1896	-4.534	NAN
1895	-4.555	NAN
1894	-4.381	NAN
1893	-4.393	NAN
1892	-4.444	NAN
1891	-4.375	NAN
1890	-4.432	NAN
1889	-4.504	NAN
1888	-4.444	NAN
1887	-4.393	NAN
1886	-4.406	NAN
1885	-4.379	NAN
1884	-4.314	NAN
1883	-4.348	NAN
1882	-4.408	NAN
1881	-4.429	NAN
1880	-4.561	NAN
1879	-4.561	NAN
1878	-4.568	NAN
1877	-4.505	NAN
1876	-4.467	NAN
1875	-4.492	NAN
1874	-4.495	NAN
1873	-4.548	NAN
1872	-4.327	NAN
1871	-4.481	NAN
1870	-4.476	NAN
1869	-4.474	NAN
1868	-4.472	NAN
1867	-4.514	NAN
1866	-4.413	NAN
1865	-4.436	NAN
1864	-4.317	NAN
1863	-4.441	NAN
1862	-4.377	NAN
1861	-4.345	NAN
1860	-4.302	NAN
1859	-4.362	NAN
1858	-4.309	NAN
1857	-4.331	NAN
1856	-4.371	NAN
1855	-4.382	NAN
1854	-4.353	NAN
1853	-4.352	NAN
1852	-4.518	NAN
1851	-4.366	NAN
1850	-4.286	NAN
1849	-4.28	NAN
1848	-4.266	NAN
1847	-4.205	NAN
1846	-4.22	NAN
1845	-4.257	NAN
1844	-4.254	NAN
1843	-4.289	NAN
1842	-4.329	NAN
1841	-4.273	NAN
1840	-4.333	NAN
1839	-4.332	NAN
1838	-4.413	NAN
1837	-4.204	NAN
1836	-4.243	NAN
1835	-4.426	NAN
1834	-4.419	NAN
1833	-4.344	NAN
1832	-4.375	NAN
1831	-4.323	NAN
1830	-4.298	NAN
1829	-4.29	NAN
1828	-4.287	NAN
1827	-4.168	NAN
1826	-4.398	NAN
1825	-4.424	NAN
1824	-4.38	NAN
1823	-4.479	NAN
1822	-4.472	NAN
1821	-4.302	NAN
1820	-4.25	NAN
1819	-4.276	NAN
1818	-4.327	NAN
1817	-4.298	NAN
1816	-4.1	NAN
1815	-4.208	NAN
1814	-4.373	NAN
1813	-4.342	NAN
1812	-4.25	NAN
1811	-4.165	NAN
1810	-4.122	NAN
1809	-4.249	NAN
1808	-4.248	NAN
1807	-4.159	NAN
1806	-4.26	NAN
1805	-4.294	NAN
1804	-4.294	NAN
1803	-4.182	NAN
1802	-4.24	NAN
1801	-4.214	NAN
