# WDC PALEO DATA SUBMISSION for PAGES 2k database
#
# Created 28 Feb 2013 by Raphi Neukom based on WDC template from 21 Dec 2012 using make_NOAA_files.r
#-----------------------------------------------------------------------
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# plus the Online Resource and date accessed.
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/palmyra_2003.txt
#
# Archive: Corals
#--------------------
# Contribution_Date
#	Date: 28-02-2013
#--------------------
# Title
#	Study_Name: Palmyra Coral d18O
#--------------------
# Investigators
#	Investigators: Cobb, K.
#--------------------
# Description_and_Notes
#	Description: Uploaded by R. Neukom, data obtained from NOAA Paleo DB.
#--------------------
# Publication
#	Authors: Cobb, K.; Charles, C.; Cheng, H.; Edwards, L.
#	Published_Date_or_Year: 2003
#	Published_Title: El Nino/Southern Oscillation and tropical Pacific climate during the last millenium.
#	Journal_Name: Nature
#	Volume: 424
#	Issue: 
#	Pages: 271-276
#--------------------
# Funding_Agency 
#--------------------
# Site_Information 
#	Site_Name: Palmyra
#	Location: Ocean>Pacific Ocean
#	Region: PAGES Australasia 2k
#	Country: USA
#	Northernmost_Latitude: 5.87
#	Southernmost_Latitude: 5.87
#	Easternmost_Longitude: -162.13
#	Westernmost_Longitude: -162.13
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: Coral d18O for PAGES Australasia 2k regional reconstructions
#	Earliest_Year: 1150
#	Most_Recent_Year: 1998
#	Time_Unit: AD
#	Notes: These are processed data (SONDJF season extracted). Raw data can be obtained from NOAA Paleo DB.
#--------------------
#  Species
#--------------------
# Chronology: 
#--------------------
# Variables
# Short_name  What,Material,Error,Units, Anomaly_period,Archive,Details,Method,Data_type
## age_AD	age, , ,AD, ,corals, ,,N
## Palmyra_d18O_floating	Coral d18O,coral,,‰,,coral,,,N
#--------------------
# Data
# Missing values: NA
age_AD	Palmyra_d18O_floating
1669	-4.772
1670	-4.629
1671	-4.587
1672	-4.863
1673	-4.767
1674	-4.871
1675	-4.761
1676	-4.799
1677	-4.903
1678	-4.984
1679	-4.704
1680	-4.622
1681	-4.733
1682	-4.872
1683	-4.767
1684	-4.745
1685	-4.748
1686	-4.673
1687	-4.942
1688	-4.948
1689	-4.893
1690	-4.922
1691	-4.824
1692	-4.675
1693	-4.769
1694	-4.953
1695	-4.644
1696	-4.801
1697	-4.655
1698	-4.535
1699	-4.880
1700	-4.725
1701	-4.846
1702	-4.634
1703	-4.483
1704	NA
1705	NA
1706	NA
1707	NA
1708	NA
1709	NA
1710	NA
1711	NA
1712	NA
1713	NA
1714	NA
1715	NA
1716	NA
1717	NA
1718	NA
1719	NA
1720	NA
1721	NA
1722	NA
1723	NA
1724	NA
1725	NA
1726	NA
1727	NA
1728	NA
1729	NA
1730	NA
1731	NA
1732	NA
1733	NA
1734	NA
1735	NA
1736	NA
1737	NA
1738	NA
1739	NA
1740	NA
1741	NA
1742	NA
1743	NA
1744	NA
1745	NA
1746	NA
1747	NA
1748	NA
1749	NA
1750	NA
1751	NA
1752	NA
1753	NA
1754	NA
1755	NA
1756	NA
1757	NA
1758	NA
1759	NA
1760	NA
1761	NA
1762	NA
1763	NA
1764	NA
1765	NA
1766	NA
1767	NA
1768	NA
1769	NA
1770	NA
1771	NA
1772	NA
1773	NA
1774	NA
1775	NA
1776	NA
1777	NA
1778	NA
1779	NA
1780	NA
1781	NA
1782	NA
1783	NA
1784	NA
1785	NA
1786	NA
1787	NA
1788	NA
1789	NA
1790	NA
1791	NA
1792	NA
1793	NA
1794	NA
1795	NA
1796	NA
1797	NA
1798	NA
1799	NA
1800	NA
1801	NA
1802	NA
1803	NA
1804	NA
1805	NA
1806	NA
1807	NA
1808	NA
1809	NA
1810	NA
1811	NA
1812	NA
1813	NA
1814	NA
1815	NA
1816	NA
1817	NA
1818	NA
1819	NA
1820	NA
1821	NA
1822	NA
1823	NA
1824	NA
1825	NA
1826	NA
1827	NA
